Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
HARIS,16.8773,33,SIFT,19.4922,MAT_FLANN,SEL_KNN,0.385788,13
HARIS,15.3991,27,SIFT,23.4159,MAT_FLANN,SEL_KNN,0.501433,24
HARIS,19.5795,35,SIFT,20.5951,MAT_FLANN,SEL_KNN,0.470178,23
HARIS,15.4669,17,SIFT,20.7905,HARIS,15.1622,14,SIFT,31.5066,MAT_BF,SEL_KNN,0.106104,14
HARIS,15.8875,19,SIFT,19.6893,MAT_BF,SEL_KNN,0.051768,11
HARIS,14.8157,22,SIFT,24.4485,MAT_BF,SEL_KNN,0.05868,16
HARIS,15.3653,26,SIFT,19.6049,MAT_BF,SEL_KNN,0.060351,20
HARIS,45.539,47,SIFT,24.1577,MAT_BF,SEL_KNN,0.120708,21
HARIS,13.6852,18,SIFT,19.6514,MAT_BF,SEL_KNN,0.078819,23
HARIS,16.8251,33,SIFT,21.003,MAT_BF,SEL_KNN,0.067948,13
HARIS,15.9872,27,SIFT,19.523,MAT_BF,SEL_KNN,0.07896,24
HARIS,19.3287,35,SIFT,19.675,MAT_BF,SEL_KNN,0.060463,23
HARIS,17.2076,17,FREAK,39.5864,HARIS,13.7045,14,FREAK,36.8087,MAT_BF,SEL_KNN,0.155868,13
HARIS,10.6004,19,FREAK,36.7242,MAT_BF,SEL_KNN,0.073566,12
HARIS,12.0022,22,FREAK,47.6676,MAT_BF,SEL_KNN,0.073409,15
HARIS,11.2208,26,FREAK,36.8953,MAT_BF,SEL_KNN,0.075098,16
HARIS,25.3472,47,FREAK,36.7108,MAT_BF,SEL_KNN,0.080901,16
HARIS,10.3666,18,FREAK,39.1679,MAT_BF,SEL_KNN,0.094617,21
HARIS,14.0615,33,FREAK,43.4544,MAT_BF,SEL_KNN,0.085014,12
HARIS,14.3132,27,FREAK,41.5229,MAT_BF,SEL_KNN,0.091444,21
HARIS,15.3831,35,FREAK,37.6748,MAT_BF,SEL_KNN,0.079496,19
HARIS,17.7343,17,ORB,1.0965,HARIS,15.6903,14,ORB,1.36441,MAT_BF,SEL_KNN,0.12762,12
HARIS,15.6086,19,ORB,1.52657,MAT_BF,SEL_KNN,0.058226,12
HARIS,15.8367,22,ORB,1.17296,MAT_BF,SEL_KNN,0.067105,15
HARIS,16.1842,26,ORB,1.08352,MAT_BF,SEL_KNN,0.078828,19
HARIS,28.5382,47,ORB,1.03956,MAT_BF,SEL_KNN,0.086049,23
HARIS,14.6382,18,ORB,1.02297,MAT_BF,SEL_KNN,0.389353,21
HARIS,17.3142,33,ORB,1.04796,MAT_BF,SEL_KNN,0.074067,15
HARIS,14.5624,27,ORB,1.18018,MAT_BF,SEL_KNN,0.113145,25
HARIS,19.9463,35,ORB,1.71774,MAT_BF,SEL_KNN,0.105711,23
HARIS,15.789,17,BRIEF,0.574942,HARIS,14.8946,14,BRIEF,1.40167,MAT_BF,SEL_KNN,0.122983,14
HARIS,14.9607,19,BRIEF,0.836096,MAT_BF,SEL_KNN,0.064322,11
HARIS,14.5033,22,BRIEF,0.920698,MAT_BF,SEL_KNN,0.07227,16
HARIS,15.3751,26,BRIEF,0.861947,MAT_BF,SEL_KNN,0.07461,21
HARIS,38.2424,47,BRIEF,0.465897,MAT_BF,SEL_KNN,0.088455,23
HARIS,14.2229,18,BRIEF,0.470862,MAT_BF,SEL_KNN,0.094686,28
HARIS,16.7761,33,BRIEF,0.864427,MAT_BF,SEL_KNN,0.065663,16
HARIS,15.2181,27,BRIEF,0.916376,MAT_BF,SEL_KNN,0.095812,25
HARIS,18.5082,35,BRIEF,0.692605,MAT_BF,SEL_KNN,0.157594,24
HARIS,16.0957,17,BRISK,292.769,HARIS,14.1623,14,BRISK,289.655,MAT_BF,SEL_KNN,0.126658,12
HARIS,15.0875,19,BRISK,288.288,MAT_BF,SEL_KNN,0.081437,10
HARIS,14.0541,22,BRISK,288.748,MAT_BF,SEL_KNN,0.079117,14
HARIS,15.1526,26,BRISK,288.716,MAT_BF,SEL_KNN,0.084903,16
